rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:04emojnbYkrRmv5qtJcgVP","Morgan Wallen, Tate McRae","What I Want (feat. Tate McRae)","Big Loud Records / Mercury Records / Republic Records",1,-1,1,"2736536"
2,"spotify:track:5z0LSDpPpGwc2ZyJHpsE3J","Morgan Wallen","Just In Case","Big Loud Records / Mercury Records / Republic Records",2,6,57,"2085323"
3,"spotify:track:3KC1yCIfkLrRaeeMUEKvg3","Morgan Wallen","Superman","Big Loud Records / Mercury Records / Republic Records",2,12,8,"1863562"
4,"spotify:track:4gfrYDtaRmp6HPvN80V2ob","Morgan Wallen","I Got Better","Big Loud Records / Mercury Records / Republic Records",4,-1,1,"1803549"
5,"spotify:track:7AeM1BGYM7emrqmQn1PuWv","Morgan Wallen","I'm The Problem","Big Loud Records / Mercury Records / Republic Records",1,22,106,"1615185"
6,"spotify:track:0GnNHCDj2WOJl70UUcvAEP","Morgan Wallen","Falling Apart","Big Loud Records / Mercury Records / Republic Records",6,-1,1,"1466200"
7,"spotify:track:6TUf119oQrkteMSKTE1SOf","Morgan Wallen","Skoal, Chevy, and Browning","Big Loud Records / Mercury Records / Republic Records",7,-1,1,"1378400"
8,"spotify:track:5QEAqQ7NzbTP8Px5N3Ggmi","Morgan Wallen","Eyes Are Closed","Big Loud Records / Mercury Records / Republic Records",8,-1,1,"1358851"
9,"spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ","Alex Warren","Ordinary","Atlantic Records",1,1,99,"1341955"
10,"spotify:track:1BDLD4c07q0bmq2VCRsXoE","Morgan Wallen, Post Malone","I Ain't Comin' Back (feat. Post Malone)","Big Loud Records / Mercury Records / Republic Records",1,11,29,"1298258"
11,"spotify:track:50kjUO9iWqTamrb3va05hu","Morgan Wallen","Kick Myself","Big Loud Records / Mercury Records / Republic Records",11,-1,1,"1274494"
12,"spotify:track:0YsIYFRoxkmEvbKCwTp0Tg","Morgan Wallen","20 Cigarettes","Big Loud Records / Mercury Records / Republic Records",12,-1,1,"1240902"
13,"spotify:track:5mAGsieQbw180sYdL3RMKk","Morgan Wallen","Love Somebody","Big Loud Records / Mercury Records / Republic Records",1,34,210,"1233424"
14,"spotify:track:4NoOpkVBJsRB2YTiP9vRJD","Morgan Wallen","Interlude","Big Loud Records / Mercury Records / Republic Records",14,-1,1,"1213920"
15,"spotify:track:7lq4b3sYM9cYSnCMxCafKe","Morgan Wallen","TN","Big Loud Records / Mercury Records / Republic Records",15,-1,1,"1209907"
16,"spotify:track:4AajxCEwGEsmHmT4H1TwjY","sombr","undressed","Warner Records",2,2,52,"1116302"
