rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
24,"spotify:track:73kIKvg65QWieOKXIwyLJP","BigXthaPlug, Bailey Zimmerman","All The Way (feat. Bailey Zimmerman)","BigXthaPlug under exclusive license to UnitedMasters LLC",2,27,41,"705427"
25,"spotify:track:221eHga9f9Ne4f8D7WVgPT","Benson Boone","Mystical Magical","Night Street Records, Inc./Warner Records Inc.",14,32,20,"691319"
26,"spotify:track:5UJbgR4XF4y1DvbkxEqe8S","Tate McRae","Sports car","RCA Records Label",5,23,111,"688784"
27,"spotify:track:6AI3ezQ4o3HUoP6Dhudph3","Kendrick Lamar","Not Like Us","Kendrick Lamar, under exclusive license to Interscope Records",1,26,375,"686781"
28,"spotify:track:5fZJQrFKWQLb7FpJXZ1g7K","Shaboozey","A Bar Song (Tipsy)","American Dogwood / EMPIRE",1,25,398,"679906"
29,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,30,130,"677538"
30,"spotify:track:0WbMK4wrZ1wFSty9F7FCgu","Chappell Roan","Good Luck, Babe!","Chappell Roan PS/ Island",1,35,405,"669614"
31,"spotify:track:541sN2qNfIlllGn9nGOQoC","Tate McRae","Revolving door","RCA Records Label",7,37,83,"668027"
32,"spotify:track:7KA4W4McWYRpgf0fWsJZWB","Tyler, The Creator, Kali Uchis","See You Again (feat. Kali Uchis)","Columbia",3,33,1433,"660345"
33,"spotify:track:0auX6W6oLjO9cHmx4UTaNj","d4vd","Feel It","Darkroom/Interscope Records",17,38,151,"659034"
34,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",5,31,554,"656994"
35,"spotify:track:19XpFsce28aByvCC4g89tJ","Hozier","Too Sweet","Rubyworks / Universal-Island Records Ltd",1,34,418,"654328"
36,"spotify:track:58ge6dfP91o9oXMzq3XkIS","Arctic Monkeys","505","Domino Recording Co",13,29,1520,"654064"
37,"spotify:track:1QrbZhFYlViXd60g130vw1","Sleep Token","Caramel","Sleep Token/RCA Records",3,24,36,"646287"
38,"spotify:track:6Qyc6fS4DsZjB2mRW9DsQs","The Goo Goo Dolls","Iris","Warner Records",38,46,433,"631631"
39,"spotify:track:7hR22TOX3RorxJPcsz5Wbo","Morgan Wallen","Love Somebody","Big Loud Records / Mercury Records / Republic Records",1,51,208,"610700"
40,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",1,39,209,"609462"
41,"spotify:track:3QaPy1KgI7nu9FJEQUgn6h","Billie Eilish","WILDFLOWER","Darkroom/Interscope Records",10,45,363,"608286"
42,"spotify:track:2HRqTpkrJO5ggZyyK6NPWz","Sabrina Carpenter","Espresso","Island Records",1,44,398,"607666"
43,"spotify:track:1osfLqL6L2iQsirRf83ded","Riley Green","Worst Way","Nashville Harbor",40,50,127,"606467"
44,"spotify:track:105Fwh9wijwT41rrfgSnrE","Sleep Token","Dangerous","Sleep Token/RCA Records",8,36,6,"597338"
45,"spotify:track:0hta2Lb2zKJ7kEnAEZEE3G","wifiskeleton, i wanna be a jack-o-lantern","Nope your too late i already died","9th St. / Hallwood",24,40,9,"591598"
46,"spotify:track:0ofHAoxe9vBkTCp2UQIavz","Fleetwood Mac","Dreams - 2004 Remaster","Rhino/Warner Records",6,41,1589,"585944"
47,"spotify:track:38WyDtxZhxm63jiythwemE","Lorde","Ribs","Universal Music New Zealand Limited",47,55,22,"576184"
48,"spotify:track:3hpm0fTeSqlhJbnqAgaLZs","Fuerza Regida","Marlboro Rojo","Rancho Humilde/Street Mob Records/Sony Music Latin",48,58,6,"575943"
49,"spotify:track:4IixOTCzviJgIigKleiVbo","Sleep Token","Even In Arcadia","Sleep Token/RCA Records",5,43,6,"561188"
50,"spotify:track:2OMjHcniFxzijWX7EaBrXE","Sleep Token","Emergence","Sleep Token/RCA Records",11,42,40,"557647"
51,"spotify:track:4KULAymBBJcPRpk1yO4dOG","Zach Bryan, Kacey Musgraves","I Remember Everything (feat. Kacey Musgraves)","Warner Records",1,49,628,"556515"
52,"spotify:track:3enIFKYJKSVyjXVzmup28I","Sleep Token","Damocles","Sleep Token/RCA Records",5,48,20,"547241"
53,"spotify:track:3t6gUcGYLrUuqwpXjOFWQc","Zach Top","I Never Lie","Leo33",33,54,223,"544708"
54,"spotify:track:4Lojbtk7XNMdSKRHSFbdkm","Sleep Token","Look To Windward","Sleep Token/RCA Records",6,47,6,"534745"
55,"spotify:track:6jbYpRPTEFl1HFKHk1IC0m","Tyler, The Creator, Lola Young","Like Him (feat. Lola Young)","Columbia",5,57,199,"532009"
56,"spotify:track:5G2f63n7IPVPPjfNIGih7Q","Sabrina Carpenter","Taste","Island Records",1,60,265,"530307"
57,"spotify:track:1FhgmMvNlh3nJ1Ldc2eE6H","Koe Wetzel, Jessie Murph","High Road (feat. Jessie Murph)","Columbia",17,66,187,"528740"
58,"spotify:track:0eaVIYo2zeOaGJeqZ5TwYz","Don Toliver","No Pole","Cactus Jack / Atlantic",22,73,209,"528138"
59,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records, THEBLACKLABEL",1,56,209,"527820"
60,"spotify:track:2uvE4L5ZsYKpv8hbK4TIOt","Leon Thomas","MUTT","EZMNY Records/Motown Records",31,61,92,"525982"
61,"spotify:track:0Uvf2v96tJ5CuyK0LtyAgd","Sleep Token","Past Self","Sleep Token/RCA Records",12,52,6,"512756"
62,"spotify:track:70LcF31zb1H0PyJoS1Sx1r","Radiohead","Creep","XL Recordings",60,63,349,"509661"
63,"spotify:track:29JLgNBcOky7QB68OrvYxO","Sleep Token","Gethsemane","Sleep Token/RCA Records",28,53,6,"506998"
64,"spotify:track:3x3K1RP3Zfi2qeMR8kyrNO","Benson Boone","Sorry I'm Here For Someone Else","Night Street Records, Inc./Warner Records Inc.",50,68,72,"505488"
65,"spotify:track:4oB8Xd7gMlUEtWoD8bmCXW","Neton Vega, Peso Pluma","Morena","Josa Records",48,64,81,"494423"
66,"spotify:track:63Pi2NAx5yCgeLhCTOrEou","Imogen Heap","Headlock","Megaphonic",32,65,173,"491574"
67,"spotify:track:7fveJ3pk1eSfxBdVkzdXZ0","Morgan Wallen, ERNEST","Cowgirls (feat. ERNEST)","Big Loud Records / Mercury Records / Republic Records",17,78,759,"486683"
68,"spotify:track:0nj9Bq5sHDiTxSHunhgkFb","Kendrick Lamar","squabble up","pgLang, under exclusive license to Interscope Records",1,71,174,"484481"
69,"spotify:track:6GG4yyk3UATdBfTHVgI8PB","Luke Combs","Ain't No Love In Oklahoma (From Twisters: The Album)","Atlantic Records",15,85,358,"483204"
70,"spotify:track:1KZG1H1OCugGqIRmk1wF9m","Sam Barber, Avery Anna","Indigo (feat. Avery Anna)","Lockeland Springs/Atlantic",47,69,156,"475954"
71,"spotify:track:4eLDmhsJW3JoZTXCAozHor","Neton Vega","Loco","Josa Records",17,79,139,"474015"
72,"spotify:track:7JVAVLkkhpKOp8g4jX5Z12","Sleep Token","Provider","Sleep Token/RCA Records",24,59,6,"472732"
73,"spotify:track:2HbKqm4o0w5wEeEFXm2sD4","Kendrick Lamar, Jay Rock","Money Trees","Aftermath",17,70,1513,"470739"
74,"spotify:track:7K3BhSpAxZBznislvUMVtn","Morgan Wallen","Last Night","Big Loud Records / Mercury Records / Republic Records",1,75,833,"468707"
75,"spotify:track:7FAFkQQZFeNwOFzTrSDFIh","Mac Miller, Empire Of The Sun","The Spins","Rostrum Records",54,77,1210,"468506"
76,"spotify:track:0b0Dz0Gi86SVdBxYeiQcCP","Sabrina Carpenter","Busy Woman","Island Records",7,82,90,"467747"
77,"spotify:track:0cQVqPuHQP4KEwc7ZUQmj6","The Neighbourhood","Sweater Weather","Columbia",12,62,1725,"465464"
78,"spotify:track:0AIpGG5dxEgnAymhdJRSZ0","Blood Orange","Champagne Coast","Domino Recording Co",65,74,68,"458510"
79,"spotify:track:35ISBknsCeZQtq66xABI9g","Lola Young","Messy","Universal-Island Records Ltd.",10,81,168,"457501"
80,"spotify:track:2UikqkwBv7aIvlixeVXHWt","Chris Stapleton","You Should Probably Leave","Mercury Nashville",46,76,654,"454795"
81,"spotify:track:4ZJ4vzLQekI0WntDbanNC7","Zach Bryan","Pink Skies","Warner Records",7,72,354,"453577"
82,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",2,84,130,"451365"
83,"spotify:track:003vvx7Niy0yvhvHt4a68B","The Killers","Mr. Brightside","Island Records",21,83,1703,"450091"
84,"spotify:track:0eBFgRxyVSeuT4iyrbukdn","Luke Combs","Where the Wild Things Are","River House Artists/Columbia Nashville",31,87,352,"449611"
85,"spotify:track:2jNyiavSywmA472t2m6ZBz","Lorde","What Was That","Universal Music New Zealand Limited",1,89,21,"445443"
86,"spotify:track:7igCS2ZsfV7bvxuhF4XgiQ","Morgan Wallen","I'm A Little Crazy","Mercury Records/Morgan Wallen",7,109,55,"439268"
87,"spotify:track:4obHzpwGrjoTuZh2DItEMZ","Morgan Wallen","7 Summers","Big Loud / Republic",3,93,586,"438642"
88,"spotify:track:6J5kc12BW5HuP3d7C3vvx8","Bad Bunny","EoO","Rimas Entertainment LLC.",10,99,130,"434921"
89,"spotify:track:0L5gbpFGU06vqSHacOxgka","Clave Especial, Edgardo Nuñez","TU TU TU","WEA Latina",58,105,34,"434785"
90,"spotify:track:3tFed7YsjGnIfxeLEQwx3R","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Columbia",2,98,199,"433459"
91,"spotify:track:3dYD57lRAUcMHufyqn9GcI","Hozier","Take Me To Church","Universal-Island Records Ltd.",53,100,519,"431721"
92,"spotify:track:3xKsf9qdS1CyvXSMEid6g8","Frank Ocean","Pink + White","Boys Don't Cry",23,95,997,"431181"
93,"spotify:track:58is1MxJ0mafkdwalyYanU","Bailey Zimmerman, Luke Combs","Backup Plan (feat. Luke Combs)","Atlantic Records/Warner Music Nashville",39,118,10,"427224"
94,"spotify:track:68qeaZhtMZ6abrJCYt6nQn","Playboi Carti, The Weeknd","RATHER LIE (with The Weeknd)","AWGE/Interscope Records",2,101,62,"426014"
95,"spotify:track:3LPLRNr58Z9Pn0clnEtkXb","Doechii","Anxiety","Top Dawg Entertainment/Capitol Records",2,90,71,"424244"
96,"spotify:track:1j15Ar0qGDzIR0v3CQv3JL","KATSEYE","Gnarly","HYBE/Geffen",53,88,14,"424206"
97,"spotify:track:3D24ErT1MMmUfXWotSj2A2","Fuerza Regida, Grupo Frontera","ME JALO","Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin",43,97,110,"423051"
98,"spotify:track:57TEkZN3f84tFJFHFrD4pO","Morgan Wallen","Whiskey Glasses","Big Loud",33,91,1952,"422937"
99,"spotify:track:2JPctdUgvkQSpnUdfROxvY","Alemán, Neton Vega","Te Quería Ver","HOMEGROWN MAFIA S.A. DE C.V./Sony Music México-Latin",30,125,96,"418299"
100,"spotify:track:4QTlxavdQGUVitxAvQqqkU","BigXthaPlug","Mmhmm","BigXthaPlug under exclusive license to UnitedMasters LLC",31,113,514,"417236"
101,"spotify:track:3fqwjXwUGN6vbzIwvyFMhx","Chris Stapleton","Tennessee Whiskey","Mercury Nashville",55,86,1347,"414936"
102,"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Jimin","Who","BIGHIT MUSIC",1,67,300,"413949"
103,"spotify:track:0NUqi0ps17YpLUC3kgsZq0","PARTYNEXTDOOR, Drake, Yebba","DIE TRYING","OVO Sound",14,112,90,"412298"
104,"spotify:track:1mMLMZYXkMueg65jRRWG1l","Luke Combs","When It Rains It Pours","River House Artists/Columbia Nashville",43,94,1099,"411881"
105,"spotify:track:0mflMxspEfB0VbI1kyLiAv","Noah Kahan","Stick Season","Mercury Records/Republic Records",1,92,918,"411546"
106,"spotify:track:7Fzl7QaTu47WyP9R5S5mh5","Morgan Wallen","Lies Lies Lies","Big Loud Records / Mercury Records / Republic Records",8,138,289,"411071"
107,"spotify:track:2tznHmp70DxMyr2XhWLOW0","Cage The Elephant","Cigarette Daydreams","RCA Records Label",79,80,835,"410398"
108,"spotify:track:2LHNTC9QZxsL3nWpt8iaSR","Lady Gaga","Abracadabra","Interscope Records",1,103,101,"409925"
109,"spotify:track:3WMj8moIAXJhHsyLaqIIHI","Zach Bryan","Something in the Orange","Warner Records",4,96,1118,"407466"
110,"spotify:track:2FAZskT9yRjp2Oow9szJD8","Chrystal, NOTION","The Days - NOTION Remix","Polydor Records",62,115,132,"407359"
111,"spotify:track:2tHwzyyOLoWSFqYNjeVMzj","Sabrina Carpenter","Please Please Please","Island Records",1,108,341,"405843"
112,"spotify:track:77pDO4WZPIdkwFve0iHWnb","Fuerza Regida","Por Esos Ojos","Rancho Humilde/Street Mob Records/Sony Music Latin",34,106,90,"404936"
113,"spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2","SZA","Snooze","Top Dawg Entertainment/RCA Records",9,116,886,"404183"
114,"spotify:track:1HbzxLqpNVPdiBXvpC7Ovb","The Red Clay Strays","Wondering Why","Red Clay Strays",70,114,421,"404149"
115,"spotify:track:51eSHglvG1RJXtL3qI5trr","Benson Boone","Slow It Down","Night Street Records, Inc./Warner Records Inc.",19,107,391,"399893"
116,"spotify:track:42T2QQv3xgBlpQxaSP7lnK","Creed","One Last Breath","The Bicycle Music Company",102,131,152,"399105"
117,"spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","XO / Republic Records",15,128,481,"398545"
118,"spotify:track:2LMkwUfqC6S6s6qDVlEuzV","Frank Ocean","White Ferrari","Boys Don't Cry",51,111,251,"398380"
119,"spotify:track:3rUGC1vUpkDG9CZFHMur1t","Tate McRae","greedy","RCA Records Label",3,127,448,"397192"
120,"spotify:track:3ZaEs1O8BG581qYPHpQ8d6","A$AP Rocky, Imogen Heap, Clams Casino","I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino)","A$AP Worldwide/RCA Records",68,123,239,"396129"
121,"spotify:track:3Vr3zh0r7ALn8VLqCiRR10","Myles Smith","Stargazing","RCA Records Label",23,120,240,"395720"
122,"spotify:track:3pXF1nA74528Edde4of9CC","Bryson Tiller","Don't","TrapSoul/RCA Records",55,102,1240,"394468"
123,"spotify:track:0T1tCsZ2qPRf6fwphjlNPM","Hudson Westbrook","Sober","River House Artists",115,134,9,"393851"
124,"spotify:track:05ZACkzW8YbRq3eFgIfSNB","Eric Church","Springsteen","EMI Records Nashville",64,117,22,"392951"
125,"spotify:track:6dBUzqjtbnIa1TwYbyw5CM","TV Girl","Lovers Rock","TV Girl",35,104,924,"388833"
126,"spotify:track:2hnMS47jN0etwvFPzYk11f","Sublime","Santeria","Gasoline Alley",92,137,131,"388238"
127,"spotify:track:16MeIVoFWTq2E0r6DwIek5","Hudson Westbrook","House Again","River House Artists",86,124,45,"387079"
128,"spotify:track:2XUx8PCXGpP1XhZJMGiUol","Malcolm Todd","Chest Pain (I Love)","Columbia",19,129,46,"383895"
129,"spotify:track:3BntzKsnLf2pc0dsvE3Zav","Teddy Swims","Bad Dreams","Warner Records",69,145,66,"383573"
130,"spotify:track:0aWHb6ujnlXkmmOI1ltStc","Mariah the Scientist","Burning Blue","Buckles Laboratories/Epic",130,141,2,"383572"
131,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",3,133,130,"383155"
132,"spotify:track:6oCXDaFZYL7sHnowv6pdXb","Lizzy McAlpine","Spring Into Summer","Indigo Blue/RCA Records",82,122,35,"382124"
133,"spotify:track:3EO58D1YpHnTvBy68gK8HE","Tucker Wetmore","Wind Up Missin’ You","Tucker Wetmore",41,160,387,"381460"
134,"spotify:track:0fK7ie6XwGxQTIkpFoWkd1","JENNIE","like JENNIE","OA Entertainment/Columbia",51,130,69,"381283"
135,"spotify:track:3Gn1zuHNLtGuGEOXwq0k7e","Chris Stapleton","Think I'm In Love With You","Mercury Nashville",113,132,57,"379587"
136,"spotify:track:3hRV0jL3vUpRrcy398teAU","Lord Huron","The Night We Met","Play It Again Sam",43,143,927,"378956"
137,"spotify:track:2A22iI0x4EYAVXNpKPhNEM","Ella Langley","weren't for the wind","SAWGOD/Columbia",137,162,30,"378424"
138,"spotify:track:3j6CeoBBlm40Msn1JE1SPD","Chappell Roan","HOT TO GO!","Chappell Roan PS/ Island",7,140,395,"378404"
139,"spotify:track:1TE8AAk9koG0UJco6ZAUfx","Bailey Zimmerman","Rock and A Hard Place","Warner Music Nashville/Elektra",22,152,732,"377777"
140,"spotify:track:1GeNui6m825V8jP4uKiIaH","Young Thug, Lil Baby","Bad Bad Bad (feat. Lil Baby)","300 Entertainment/Atl",7,172,178,"377525"
141,"spotify:track:0d28khcov6AiegSCpG5TuT","Gorillaz, De La Soul","Feel Good Inc.","Parlophone UK",87,126,172,"377159"
142,"spotify:track:6PGoSes0D9eUDeeAafB2As","Kendrick Lamar, Zacari","LOVE. FEAT. ZACARI.","Aftermath",5,121,1352,"376821"
143,"spotify:track:51rfRCiUSvxXlCSCfIztBy","Gracie Abrams","I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",9,150,305,"376548"
144,"spotify:track:1a7onn7lPqqRWul5ogyMyX","Fuerza Regida","ANSIEDAD","Rancho Humilde/Street Mob Records/Sony Music Latin",139,139,3,"375799"
145,"spotify:track:3zEN0ii6s4DHHBpnTp3RP7","Empire Of The Sun","We Are The People","EMI Recorded Music Australia Pty Ltd",119,148,41,"372500"
146,"spotify:track:1eTaznNW4Xxtx9za2SMTXB","Doechii","DENIAL IS A RIVER","Top Dawg Entertainment/Capitol Records",3,149,139,"372301"
147,"spotify:track:2fuYa3Lx06QQJAm0MjztKr","Radiohead","Let Down","XL Recordings",147,163,2,"370024"
148,"spotify:track:4U45aEWtQhrm8A5mxPaFZ7","Billy Joel","Vienna","Columbia/Legacy",128,161,41,"369496"
149,"spotify:track:5TxRUOsGeWeRl3xOML59Ai","Tyler, The Creator","ARE WE STILL FRIENDS?","Columbia",19,136,163,"369336"
150,"spotify:track:78O33U6jbQtNiNfbkZudpd","Lil Wayne, Drake","She Will","CM/Republic",64,189,107,"368014"
151,"spotify:track:2uXlHCUbq9OMUwx3hrk06o","Vance Joy","Riptide","Atlantic Records",52,157,530,"366925"
152,"spotify:track:7KXjTSCq5nL1LoYtL7XAwS","Kendrick Lamar","HUMBLE.","Aftermath",1,146,1724,"366063"
153,"spotify:track:3lGs8BwNj35qaBx3uSOQdR","Sleep Token","Infinite Baths","Sleep Token/RCA Records",43,110,6,"365774"
154,"spotify:track:0l0vcZMU7AOeQmUIREoI2U","Rauw Alejandro, Bad Bunny","Qué Pasaría...","Sony Music Latin/Duars Entertainment",14,186,179,"363527"
155,"spotify:track:68Dni7IE4VyPkTOH9mRWHr","J. Cole","No Role Modelz","Roc Nation Records LLC",7,151,2685,"362595"
156,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",2,170,879,"360917"
157,"spotify:track:56oGoEjA9eTZYgsttEFKY3","Wiz Khalifa, Empire Of The Sun","The Thrill","Rostrum Records",120,171,27,"359368"
158,"spotify:track:1oAwsWBovWRIp7qLMGPIet","Cigarettes After Sex","Apocalypse","Partisan Records",42,159,827,"359272"
159,"spotify:track:5r5cp9IpziiIsR6b93vcnQ","Empire Of The Sun","Walking On A Dream","EMI Recorded Music Australia Pty Ltd",94,153,36,"358424"
160,"spotify:track:0M955bMOoilikPXwKLYpoi","Three Days Grace","I Hate Everything About You","Jive",136,179,26,"358383"
161,"spotify:track:0SA0mMXWh23raZ6xzOCU2V","Tyler, The Creator, Frank Ocean","She","XL Recordings",92,158,140,"358011"
162,"spotify:track:3t72JCbFJ3syOhFC7x9Pa4","Neton Vega","M&M","Josa Records",89,195,55,"357853"
163,"spotify:track:6ybZUqlfk938oS6WeBmDab","Treaty Oak Revival","Missed Call","TOR Records",144,-1,24,"357317"
164,"spotify:track:3azJifCSqg9fRij2yKIbWz","Tory Lanez","The Color Violet","One Umbrella Records",23,165,872,"356008"
165,"spotify:track:1XBYiRV30ykHw5f4wm6qEn","The Kid LAROI","NIGHTS LIKE THIS","Columbia",20,180,330,"355938"
166,"spotify:track:1ShRHPAiiIrh0arZbSFmx1","The Marías","Heavy","Nice Life/Atlantic",94,188,44,"355503"
167,"spotify:track:3aSWXU6owkZeVhh94XxEWO","SZA, Kendrick Lamar","30 For 30 (with Kendrick Lamar)","Top Dawg Entertainment/RCA Records",6,169,146,"354909"
168,"spotify:track:6LxSe8YmdPxy095Ux6znaQ","Drake","Headlines","Cash Money Records/Young Money Ent./Universal Rec.",136,192,77,"354815"
169,"spotify:track:1G391cbiT3v3Cywg8T7DM1","Red Hot Chili Peppers","Scar Tissue","Warner Records",119,119,61,"354739"
170,"spotify:track:4PMqSO5qyjpvzhlLI5GnID","SZA","Good Days","Top Dawg Entertainment/RCA Records",1,135,1228,"354600"
171,"spotify:track:2tudvzsrR56uom6smgOcSf","Future, Metro Boomin, Kendrick Lamar","Like That","Wilburn Holding Co./Boominati/Epic/Republic",1,181,415,"352254"
172,"spotify:track:0gucTLf7trAf37Ua1uAyAu","Nirvana","Smells Like Teen Spirit","Geffen",86,168,425,"347849"
173,"spotify:track:7DfFc7a6Rwfi3YQMRbDMau","Frank Ocean","Thinkin Bout You","Red Zone Entertainment / IDJ",36,174,493,"347273"
174,"spotify:track:2uP6t2J5MEwhr9rDkAAzwh","Daniel Caesar, Kali Uchis","Get You (feat. Kali Uchis)","HV Recordings",96,147,280,"347193"
175,"spotify:track:5RKQ5NdjSh2QzD4MaunT91","Journey","Don't Stop Believin' (2022 Remaster)","Columbia/Legacy",60,142,760,"347156"
176,"spotify:track:1LzNfuep1bnAUR9skqdHCK","Mazzy Star","Fade Into You","Capitol Records",146,198,55,"346982"
177,"spotify:track:1wOp7yTVyH176bW1z9WAiv","Alex Warren","Carry You Home","Atlantic Records",115,200,34,"346634"
178,"spotify:track:60a0Rd6pjrkxjPbaKzXjfq","Linkin Park","In the End","Warner Records",8,196,98,"345916"
179,"spotify:track:3AJwUDP919kvQ9QcozQPxg","Coldplay","Yellow","Parlophone UK",89,156,274,"344241"
180,"spotify:track:2XHzzp1j4IfTNp1FTn7YFg","Lil Wayne, Drake, Future","Love Me","CM/Republic",68,-1,398,"343672"
181,"spotify:track:6WatFBLVB0x077xWeoVc2k","KAROL G","Si Antes Te Hubiera Conocido","Bichota/Interscope Records",36,183,219,"343435"
182,"spotify:track:3OzCF9i6Ey7EkkAYJztmKp","Halsey","Bad At Love","Astralwerks (ASW)",22,191,283,"342864"
183,"spotify:track:3anaHXs7z8NwLUatPxqJlE","Shaboozey, Jelly Roll","Amen","American Dogwood / EMPIRE",86,185,13,"342247"
184,"spotify:track:040I32EKLxQrkuxQu1pqvT","SZA","Saturn","Top Dawg Entertainment/RCA Records",3,173,434,"340471"
185,"spotify:track:7BRD7x5pt8Lqa1eGYC4dzj","Billie Eilish","CHIHIRO","Darkroom/Interscope Records",5,-1,334,"340359"
186,"spotify:track:7ghKr0pCYyPPyp7t1FH8k4","Childish Gambino","Les","Glassnote - VMG",58,193,147,"340194"
187,"spotify:track:4RvWPyQ5RL0ao9LPZeSouE","Tears For Fears","Everybody Wants To Rule The World","UMC (Universal Music Catalogue)",44,184,763,"339204"
188,"spotify:track:5mCPDVBb16L4XQwDdbRUpz","Drake","Passionfruit","Cash Money Records/Young Money Ent./Universal Rec.",1,177,922,"339200"
189,"spotify:track:5GQPBzoRBDxcAjwSSluQXD","Connie Francis","Pretty Little Baby - Stereo Mix","Universal Records",150,166,4,"339069"
190,"spotify:track:5AJ9hqTS2wcFQCELCFRO7A","Tommy Richman","MILLION DOLLAR BABY","PULSE Records",1,-1,382,"339039"
191,"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","The Police","Every Breath You Take","Polydor Records",133,-1,35,"338983"
