rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:04emojnbYkrRmv5qtJcgVP","Morgan Wallen, Tate McRae","What I Want (feat. Tate McRae)","Big Loud Records / Mercury Records / Republic Records",1,1,2,"1892294"
2,"spotify:track:5z0LSDpPpGwc2ZyJHpsE3J","Morgan Wallen","Just In Case","Big Loud Records / Mercury Records / Republic Records",2,2,58,"1689534"
3,"spotify:track:3KC1yCIfkLrRaeeMUEKvg3","Morgan Wallen","Superman","Big Loud Records / Mercury Records / Republic Records",2,3,9,"1372072"
4,"spotify:track:7AeM1BGYM7emrqmQn1PuWv","Morgan Wallen","I'm The Problem","Big Loud Records / Mercury Records / Republic Records",1,5,107,"1312156"
5,"spotify:track:4gfrYDtaRmp6HPvN80V2ob","Morgan Wallen","I Got Better","Big Loud Records / Mercury Records / Republic Records",4,4,2,"1259942"
6,"spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ","Alex Warren","Ordinary","Atlantic Records",1,9,100,"1244297"
7,"spotify:track:1BDLD4c07q0bmq2VCRsXoE","Morgan Wallen, Post Malone","I Ain't Comin' Back (feat. Post Malone)","Big Loud Records / Mercury Records / Republic Records",1,10,30,"1128173"
8,"spotify:track:2u9S9JJ6hTZS3Vf22HOZKg","Drake","NOKIA","OVO Sound",1,17,93,"1114226"
9,"spotify:track:5mAGsieQbw180sYdL3RMKk","Morgan Wallen","Love Somebody","Big Loud Records / Mercury Records / Republic Records",1,13,211,"1097303"
10,"spotify:track:2CGNAOSuO1MEFCbBRgUzjd","Kendrick Lamar, SZA","luther (with sza)","pgLang, under exclusive license to Interscope Records",1,20,177,"1096561"
11,"spotify:track:0GnNHCDj2WOJl70UUcvAEP","Morgan Wallen","Falling Apart","Big Loud Records / Mercury Records / Republic Records",6,6,2,"984000"
12,"spotify:track:5QEAqQ7NzbTP8Px5N3Ggmi","Morgan Wallen","Eyes Are Closed","Big Loud Records / Mercury Records / Republic Records",8,8,2,"981067"
13,"spotify:track:4AajxCEwGEsmHmT4H1TwjY","sombr","undressed","Warner Records",2,16,53,"962409"
14,"spotify:track:6TUf119oQrkteMSKTE1SOf","Morgan Wallen","Skoal, Chevy, and Browning","Big Loud Records / Mercury Records / Republic Records",7,7,2,"960408"
15,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",2,30,366,"925736"
16,"spotify:track:0YsIYFRoxkmEvbKCwTp0Tg","Morgan Wallen","20 Cigarettes","Big Loud Records / Mercury Records / Republic Records",12,12,2,"923560"
17,"spotify:track:7lq4b3sYM9cYSnCMxCafKe","Morgan Wallen","TN","Big Loud Records / Mercury Records / Republic Records",15,15,2,"910422"
18,"spotify:track:50kjUO9iWqTamrb3va05hu","Morgan Wallen","Kick Myself","Big Loud Records / Mercury Records / Republic Records",11,11,2,"900703"
19,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",1,31,275,"900077"
20,"spotify:track:72EqPCCpe79JBwtLlVsdZ6","Morgan Wallen","Where'd That Girl Go","Big Loud Records / Mercury Records / Republic Records",18,18,2,"882349"
21,"spotify:track:6393yGahSJ9slVdOwSxOVR","Chappell Roan","Pink Pony Club","Chappell Roan PS/ Island",4,33,347,"876883"
22,"spotify:track:7EW7Yivb93qKAtp5qEm5of","Lil Tecca","Dark Thoughts","Galactic / Republic Records",2,28,65,"875020"
23,"spotify:track:0FTmksd2dxiE5e3rWyJXs6","sombr","back to friends","Warner Records",5,25,61,"870735"
24,"spotify:track:5IZXB5IKAD2qlvTPJYDCFB","Post Malone, Morgan Wallen","I Had Some Help (Feat. Morgan Wallen)","Mercury Records / Republic Records",1,34,373,"835969"
25,"spotify:track:7trGQmK2IAYxLb3wgqfawy","Morgan Wallen","Missing","Big Loud Records / Mercury Records / Republic Records",19,19,2,"816232"
26,"spotify:track:3vhOv5qBOX9urPOC9VyhWl","Morgan Wallen","Kiss Her In Front Of You","Big Loud Records / Mercury Records / Republic Records",23,23,2,"806948"
27,"spotify:track:5EA2rqylBTFpUVQUKiWFXs","Morgan Wallen, Eric Church","Number 3 and Number 7 (feat. Eric Church)","Big Loud Records / Mercury Records / Republic Records",22,22,2,"804571"
28,"spotify:track:0aB0v4027ukVziUGwVGYpG","Kendrick Lamar, Lefty Gunplay","tv off (feat. lefty gunplay)","pgLang, under exclusive license to Interscope Records",1,36,177,"801826"
29,"spotify:track:5fZJQrFKWQLb7FpJXZ1g7K","Shaboozey","A Bar Song (Tipsy)","American Dogwood / EMPIRE",1,46,401,"797070"
30,"spotify:track:5ImJTOd6BMsvwuRgnlmyr7","Morgan Wallen","Genesis","Big Loud Records / Mercury Records / Republic Records",21,21,2,"796555"
31,"spotify:track:3siwsiaEoU4Kuuc9WKMUy5","The Marías","No One Noticed","Nice Life/Atlantic",4,35,274,"789611"
32,"spotify:track:4NoOpkVBJsRB2YTiP9vRJD","Morgan Wallen","Interlude","Big Loud Records / Mercury Records / Republic Records",14,14,2,"777009"
33,"spotify:track:3xkHsmpQCBMytMJNiDf3Ii","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",1,44,485,"767547"
34,"spotify:track:710dGcMZzo15JzqhJmDjOR","Morgan Wallen","If You Were Mine","Big Loud Records / Mercury Records / Republic Records",26,26,2,"767095"
35,"spotify:track:7quUr3mlWKcQuBRfl6g5Sn","Morgan Wallen","Don't We","Big Loud Records / Mercury Records / Republic Records",27,27,2,"765910"
36,"spotify:track:2RdEC8Ff83WkX7kDVCHseE","Charli xcx","party 4 u","Atlantic Records UK",12,39,28,"755271"
37,"spotify:track:4HWDNZ1i6gyzu9tUbNhC2C","Morgan Wallen","Revelation","Big Loud Records / Mercury Records / Republic Records",24,24,2,"750771"
38,"spotify:track:0FIDCNYYjNvPVimz5icugS","The Weeknd, Playboi Carti","Timeless (feat Playboi Carti)","XO / Republic Records",1,38,233,"749635"
39,"spotify:track:7u7IqryLFAygWFz6bsEB7y","Jessie Murph","Blue Strips","Columbia",6,32,32,"746154"
40,"spotify:track:2zIl3eEUd51KdtqGyJw1sg","Morgan Wallen","I'm A Little Crazy","Big Loud Records / Mercury Records / Republic Records",7,37,58,"736257"
41,"spotify:track:21IYMdzTrzSe191Cy5eMap","Gigi Perez","Sailor Song","Outtahere, LLC / Island Records",3,47,291,"711442"
42,"spotify:track:4WFgvKVfEhb3IUAFGrutTR","Ravyn Lenae","Love Me Not","Atlantic Records",9,41,70,"707810"
43,"spotify:track:33gSkDn6P9uS7ofaYiyBP6","Morgan Wallen, HARDY","Come Back As A Redneck (feat. HARDY)","Big Loud Records / Mercury Records / Republic Records",29,29,2,"700213"
44,"spotify:track:1KL0yUBT1U2PfVUWIhWL7l","Morgan Wallen","Lies Lies Lies","Big Loud Records / Mercury Records / Republic Records",8,43,292,"694947"
45,"spotify:track:3GCdLUSnKSMJhs4Tj6CV3s","Kendrick Lamar, SZA","All The Stars (with SZA)","Black Panther (TDE/DMG) PS",2,50,979,"692172"
46,"spotify:track:6AI3ezQ4o3HUoP6Dhudph3","Kendrick Lamar","Not Like Us","Kendrick Lamar, under exclusive license to Interscope Records",1,52,378,"683917"
47,"spotify:track:0ofHAoxe9vBkTCp2UQIavz","Fleetwood Mac","Dreams - 2004 Remaster","Rhino/Warner Records",6,70,1592,"683428"
